"","Financials","Information Technology","date"
"1",1.03183976432692,1.0536947377619,2010-10-29
"2",1.01674346561428,1.03886263314002,2010-11-30
"3",1.12672385018459,1.11972425692136,2010-12-31
"4",1.15380862462009,1.18606214557908,2010-02-26
"5",1.25875993154715,1.22779793676478,2010-03-31
"6",1.29038619293526,1.24186161177048,2010-04-30
"7",1.17316420318957,1.16148819910308,2010-05-31
"8",1.10940176718023,1.0984543718146,2010-06-30
"9",1.18989267434944,1.16878871307065,2010-07-30
"10",1.10146107086655,1.09516371297815,2010-08-31
"11",1.19153447802331,1.26108985169238,2010-09-30
"12",1.21351074627131,1.51342985499347,2011-01-31
"13",1.38442471471822,1.76192081937473,2011-10-31
"14",1.34974398782556,1.77583627510415,2011-11-30
"15",1.36865337817303,1.72404781474311,2011-12-30
"16",1.41471854206856,1.77792079320985,2011-02-28
"17",1.39332552404991,1.83851347713018,2011-03-31
"18",1.40863223063354,1.90754260154395,2011-04-29
"19",1.57744884202105,1.88828956196599,2011-05-31
"20",1.5388068531755,1.79663768494655,2011-06-30
"21",1.46482717792067,1.6923392181076,2011-07-29
"22",1.33421283550784,1.54100651619525,2011-08-31
"23",1.21408556805847,1.44756237557581,2011-09-30
"24",1.28601212219945,1.56733773067557,2012-01-31
"25",1.30771018230783,1.44756455384316,2012-10-31
"26",1.29885042120254,1.4617192239999,2012-11-30
"27",1.33088978059709,1.50785027765007,2012-12-31
"28",1.41843914672218,1.58308562197953,2012-02-29
"29",1.49212092670892,1.63773384266161,2012-03-30
"30",1.49179068011796,1.61266053347211,2012-04-27
"31",1.35712724768168,1.42422798681824,2012-05-31
"32",1.41090479752275,1.49938035290792,2012-06-29
"33",1.38255997185136,1.50825779042584,2012-07-31
"34",1.43956292760003,1.55371178291623,2012-08-31
"35",1.48524581343108,1.54252253425941,2012-09-28
"36",1.60143477616042,1.67462440083387,2013-01-31
"37",1.67637862673088,1.69838335931909,2013-10-31
"38",1.76333167705573,1.76439195411708,2013-11-29
"39",1.79142995413352,1.84243686332392,2013-12-31
"40",1.80589433127046,1.85679762980415,2013-02-28
"41",1.89929014461719,1.95162778287656,2013-03-29
"42",1.89975710931519,1.8938367816067,2013-04-26
"43",2.03968290106409,2.05051796164057,2013-05-31
"44",2.0380509627777,1.96814573645326,2013-06-28
"45",2.16213830333835,2.0812198375262,2013-07-31
"46",2.07511788949799,2.01666921094288,2013-08-30
"47",2.15230285251548,2.3022972168279,2013-09-30
"48",2.02899477815638,2.24336388337842,2014-01-30
"49",2.08508125542523,2.30622423317068,2014-10-31
"50",2.12552855090512,2.39467084714093,2014-11-28
"51",2.15323277861493,2.41752695101052,2014-12-31
"52",2.18775554770465,2.4369721570512,2014-02-28
"53",2.23284415305158,2.41690108772325,2014-03-31
"54",2.1913197730838,2.39863783346512,2014-04-30
"55",2.22087941276832,2.48121126287074,2014-05-30
"56",2.28191954515669,2.5631991000064,2014-06-30
"57",2.22503590305028,2.54325939028628,2014-07-31
"58",2.30790240060524,2.64738990639352,2014-08-29
"59",2.29650156246857,2.56606641102649,2014-09-30
"60",2.12438811933109,2.44067742622995,2015-01-30
"61",2.24779181522589,2.64338064419154,2015-10-30
"62",2.30982609998739,2.62405341430246,2015-11-30
"63",2.23054392436707,2.56970717272313,2015-12-31
"64",2.39859563508176,2.77111584682465,2015-02-27
"65",2.40079774279024,2.6893700409336,2015-03-31
"66",2.40857192847671,2.678952039694,2015-04-30
"67",2.45846231480741,2.7001920125849,2015-05-29
"68",2.47156720037154,2.56212446661726,2015-06-30
"69",2.54488203105583,2.59180579999834,2015-07-31
"70",2.37999661706553,2.48076722135538,2015-08-31
"71",2.31461013897414,2.47976313117693,2015-09-30
"72",2.0962130282693,2.25536826324106,2016-01-29
"73",2.12524994290542,2.18607593669141,2016-10-31
"74",2.32769212934077,2.31155830794875,2016-11-30
"75",2.39274936914169,2.35088476050192,2016-12-30
"76",2.35596483000036,2.43896863617338,2016-02-29
"77",2.52074785360881,2.66784919462676,2016-03-31
"78",2.62294352401626,2.60231078412491,2016-04-29
"79",2.71064765515125,2.73227163503865,2016-05-31
"80",2.57987887221231,2.76094776809177,2016-06-30
"81",2.69188388082357,2.95887015313851,2016-07-29
"82",2.81772857200604,3.02687109087058,2016-08-31
"83",2.78044124246849,3.07389322106713,2016-09-30
"84",2.85325703396688,3.20223589728006,2017-01-26
"85",2.91157624553041,3.33228853250743,2017-10-31
"86",3.01503188133103,3.39351228840617,2017-11-30
"87",3.04054387504012,3.36256890195355,2017-12-29
"88",3.14402397282157,3.58907855398518,2017-02-28
"89",3.08243082637552,3.64687669645623,2017-03-31
"90",3.07634442859223,3.66214092237069,2017-04-28
"91",3.07507665042911,3.71641154962062,2017-05-31
"92",3.21866498515607,3.66291929521158,2017-06-30
"93",3.30172100905323,3.80323087975012,2017-07-31
"94",3.21080742605668,3.78451348923977,2017-08-31
"95",3.36193483778242,3.85794377065558,2017-09-29
"96",3.53684851617291,4.16415318728267,2018-01-31
"97",3.32598413981817,3.66291283851451,2018-10-31
"98",3.4026456806837,3.8044577641831,2018-11-30
"99",3.0166633328954,3.39580452572842,2018-12-28
"100",2.95148723947625,3.33156314023768,2018-02-28
"101",2.83146103040509,3.33263051421019,2018-03-30
"102",2.85766047773515,3.38436410521383,2018-04-27
"103",2.80714106891078,3.48024948180707,2018-05-31
"104",2.72285329654937,3.55694457058865,2018-06-29
"105",2.83619678822618,3.67608776962898,2018-07-31
"106",2.87720872104383,4.03462827997915,2018-08-31
"107",2.82823424496285,4.07687498778178,2018-09-28
"108",3.13646580009307,4.61143492392961,2019-01-31
"109",3.15871361230951,4.68269142003296,2019-10-31
"110",3.31293870442093,5.02511877331459,2019-11-29
"111",3.36419254653686,5.1255906082626,2019-12-31
"112",3.50234024063405,5.41501188414839,2019-02-28
"113",3.40506549342457,5.54015610214972,2019-03-29
"114",3.66365764946542,5.86297987172358,2019-04-30
"115",3.4935107128991,5.45142567397926,2019-05-31
"116",3.70167087864496,5.89522039027571,2019-06-28
"117",3.81242982324424,5.93249440313935,2019-07-31
"118",3.64743832737367,5.89637263630251,2019-08-30
"119",3.80616631174216,5.97576605224271,2019-09-30
"120",3.84636477638978,6.34392466907263,2020-01-23
"121",3.8865837305458,6.19642643547245,2020-10-30
"122",4.5002175100422,7.07676751380119,2020-11-30
"123",4.78952602357407,7.59947514341997,2020-12-31
"124",4.16807868206447,6.55170344103975,2020-02-28
"125",3.2066996134892,5.80031525348324,2020-03-31
"126",3.52656904528152,6.42046552270064,2020-04-30
"127",3.66854288623629,6.77901469515652,2020-05-29
"128",3.69724282304855,6.87364593017184,2020-06-30
"129",3.8184355088837,7.12713869848361,2020-07-31
"130",3.93097502285912,7.42815305252366,2020-08-31
"131",3.80162491721689,7.17589605612858,2020-09-30
"132",3.70426602437219,6.97335377381768,2021-01-29
"133",3.94079387664571,7.47697409701788,2021-10-29
"134",3.73452097316424,7.50512158756502,2021-11-30
"135",3.89387838931099,8.13258905589244,2021-12-31
"136",4.32700672123848,8.43722121565839,2021-02-26
"137",4.57979763639154,9.06519552194395,2021-03-31
"138",4.90457625048618,9.53534477950724,2021-04-30
"139",5.05603479875565,9.89044109583291,2021-05-31
"140",4.88242714931068,10.1518831003114,2021-06-30
"141",4.90021256264181,10.5706114713385,2021-07-30
"142",5.1457939161752,10.8798999138941,2021-08-31
"143",5.00628192487331,10.3575053295658,2021-09-30
"144",5.0227455348002,9.20544365907969,2022-01-28
"145",5.64530926936387,10.1822869793441,2022-10-31
"146",5.95580009431532,11.0153710561589,2022-11-30
"147",5.65290411391607,10.2942644010704,2022-12-30
"148",5.6822756677015,10.3614812142085,2022-02-28
"149",5.65837635860026,10.7518819678411,2022-03-31
"150",5.1792740453054,9.76140457487753,2022-04-29
"151",5.33304558952116,10.0477871742301,2022-05-31
"152",4.85082465517894,8.80847212581631,2022-06-30
"153",5.11773551765119,9.80616168638983,2022-07-29
"154",5.00288031755939,9.39145565690349,2022-08-31
"155",4.64424246986497,8.39184511222052,2022-09-30
"156",4.99564824520653,8.98738882225129,2023-01-31
"157",4.89149396091597,8.81583558045372,2023-10-31
"158",5.43945286563018,10.0010359273279,2023-11-30
"159",5.77002716010608,10.4348284594747,2023-12-29
"160",5.64725354703893,10.205162246343,2023-02-28
"161",5.04353533849731,10.5959689340808,2023-03-31
"162",5.11007594936602,10.3738027438243,2023-04-28
"163",4.83341645161833,10.8209776079388,2023-05-31
"164",5.1524304025034,11.5477111497771,2023-06-30
"165",5.47315258025472,11.965315177564,2023-07-31
"166",5.26501684556235,12.0234675967504,2023-08-31
"167",5.15593228234962,11.4562945335615,2023-09-28
"168",5.27607885878958,11.7657884563466,2024-01-31
"169",5.41687114306572,12.3395590514052,2024-02-29
"170",5.74300071736745,12.549189033372,2024-03-29
"171",5.74300071736745,12.549189033372,2024-04-01
